,ACCOUNT_ID,ACCOUNT_NM,ACCOUNT_INDUSTRY_NM,EMPLOYEE_COUNT,LOGACTIVEAGE,AOV_BAND,SUPPORT_LEVEL_NM,LIC_NUM_SFDC,LIC_NUM_USR_SFDC,LIC_NUM_USR_SFDC_14D,LIC_UTIL_OEM_ADJ_CUST,LIC_TLP_14D_SFDC,LIC_TLP_14D_CUST,LOG_DIST_CAMPAIGNS_USRS,LOG_DIST_EVENTS_UI_USRS,LOG_DIST_TASKS_UI_USRS,LOG_DIST_CUST_OBJ_UI_USRS,LOG_TOT_RPT_DSHBRD_VWS_PR_USR,LOG_DIST_DSHBRD_USR_VIEWS,LOG_DIST_QUOTES_UI_USRS,LOG_DIST_OPPTY_USRS,LOG_DIST_CASES_FEED_USRS,LOG_DIST_ENTITLEMENTS_UI_USRS,LOG_DIST_CASES_UI_USRS,LOG_DIST_SERVICE_CONSOLE_USRS,LOG_DIST_CASES_API_USRS,LOG_DIST_SOLUTIONS_UI_USRS,LOG_DIST_KNWLDG_SEARCH_USRS,LOG_DIST_CTI_USRS,LOG_DIST_SOAP_API_USRS,ORG_OPPT_SHARING_RULES_NUM,ORG_OPPTS_NUM,ORG_LEADS_PER_USER_NUM,ORG_LEADS_NUM,ORG_PRODUCTS_NUM,ORG_WORKFLOW_RULES_NUM,ORG_CUSTOM_APPS_NUM,ORG_ACCTS_NUM,ORG_CONTACTS_NUM,ORG_ACTIVITIES_NUM,ORG_CUSTOM_OBJECT_RECORDS_NUM,ORG_CASE_QUEUES_NUM,ORG_CASE_REC_TYPES_NUM,ORG_CASE_SHARING_RULES_NUM,ORG_CASES_NUM,ORG_SOLUTIONS_NUM,ORG_APEX_LOC_WRITTEN,CR_SETUP,CO_PHONE,CO_CHAT,CS_OOS,M_ESC_COMM_BIN_CNT,SLA1_MISS_CNT,NUM_MNTH_KA,NUM_MNTH_TRAIL,NUM_MNTH_VIDEO,NUM_MNTH_COMMUNITY,NUM_MNTH_WEBINAR,NUM_MNTH_CSR,LOW_CSAT_CASES_PCT,TOTAL_ACV,OPENPIPE_FTM,PIPEGEN_TTM,LOSTPIPE_TTM,GROWTH_PERCENTAGE_TTM,WIN_PERCENTAGE_TTM,ATTRITION_PERCENTAGE_TTM,TOTAL_OPTIES,PTBFLAG,FLAG,ACCOUNT_INDUSTRY_NM[T.Agriculture & Mining],ACCOUNT_INDUSTRY_NM[T.Education],"ACCOUNT_INDUSTRY_NM[T.Engineering, Construction, & Real Estate]",ACCOUNT_INDUSTRY_NM[T.Financial Services],ACCOUNT_INDUSTRY_NM[T.Healthcare & Life Sciences],ACCOUNT_INDUSTRY_NM[T.High Tech],"ACCOUNT_INDUSTRY_NM[T.Hospitality, Travel, & Transportation]",ACCOUNT_INDUSTRY_NM[T.Manufacturing],ACCOUNT_INDUSTRY_NM[T.Media & Communications],ACCOUNT_INDUSTRY_NM[T.Nonprofit Institutions],ACCOUNT_INDUSTRY_NM[T.Other],ACCOUNT_INDUSTRY_NM[T.Professional Services],ACCOUNT_INDUSTRY_NM[T.Public Sector],ACCOUNT_INDUSTRY_NM[T.Retail],AOV_BAND[T.$1-1K],AOV_BAND[T.$100K-200K],AOV_BAND[T.$10K-50K],AOV_BAND[T.$10M-25M],AOV_BAND[T.$1K-10K],AOV_BAND[T.$1M-5M],AOV_BAND[T.$200K-600K],AOV_BAND[T.$25M+],AOV_BAND[T.$50K-100K],AOV_BAND[T.$5M-10M],AOV_BAND[T.$600K-1M],AOV_BAND[T.0-1$],SUPPORT_LEVEL_NM[T.Basic],SUPPORT_LEVEL_NM[T.Other],SUPPORT_LEVEL_NM[T.Partner Premier + Account Manager],SUPPORT_LEVEL_NM[T.Premier],Prediction,y_test,y_pred
5203,00100000001CwR3,Maxim Integrated*,High Tech,9065.0,4,$600K-1M,Basic,876.0,868.0,543.0,0.49,0.63,0.22,3.0,2.0,60.0,466.0,4.16,110.0,0.0,240.0,70.0,12.0,185.0,110.0,43.0,0.0,62.0,56.0,228.0,7.0,480470.0,12.61,10946.0,146315.0,248.0,18.0,116403.0,93552.0,577486.0,17739513.0,17.0,24.0,5.0,87681.0,39.0,32109.0,0.0,1.0,0.0,4.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96089.82,370174.98,359391.58,0.0,0.09,1.0,0.18,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,0.0
1948,001000000016pRr,CompassLearning   Inc.,High Tech,257.0,4,$200K-600K,Premier,258.0,198.0,171.0,0.0,0.86,0.0,5.0,28.0,84.0,137.0,19.37,15.0,64.0,117.0,1.0,0.0,91.0,13.0,3.0,1.0,39.0,2.0,93.0,38.0,96589.0,1736.83,343893.0,415.0,222.0,31.0,173544.0,635673.0,3475443.0,5106286.0,11.0,21.0,44.0,360590.0,1664.0,36128.0,1.0,1.0,15.0,5.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6290.88,0.0,628890.75,622599.87,0.02,0.01,0.08,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.0
10938,00130000000HPWV,Equinox Fitness Clubs,Retail,4000.0,2,$1M-5M,Premier,915.0,826.0,675.0,0.0,0.8200000000000001,0.0,102.0,329.0,409.0,505.0,5.3500000000000005,139.0,0.0,516.0,0.0,0.0,167.0,0.0,105.0,2.0,0.0,0.0,626.0,243.0,5252924.0,535.51,442330.0,0.0,172.0,18.0,5760880.0,5765661.0,10956956.0,25463574.0,82.0,0.0,0.0,154161.0,1.0,64390.0,0.0,3.0,8.0,3.0,2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347978.29,2351844.33,1785000.0,0.0,0.28,1.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0,1.0
10399,00100000001KsNj,GE Oil&Gas*,Manufacturing,35313.0,2,$1M-5M,Premier,8480.0,8355.0,5748.0,0.0,0.6900000000000001,0.0,92.0,130.0,1178.0,2827.0,7.84,1273.0,3.0,3060.0,239.0,0.0,1406.0,50.0,438.0,12.0,19.0,0.0,2480.0,39.0,471082.0,14.870000000000001,124241.0,1665111.0,634.0,24.0,426068.0,354228.0,4393340.0,43686480.0,54.0,26.0,23.0,1524324.0,21302.0,167537.0,0.0,19.0,98.0,7.0,12.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,203201.19,0.0,201177.19,0.0,0.03,1.0,16.15,8.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0.0
8084,00130000016jRfo,Rakuten Deutschland GmbH,High Tech,150.0,2,$200K-600K,Premier,140.0,127.0,112.0,0.0,0.88,0.0,1.0,23.0,61.0,68.0,102.23,32.0,0.0,99.0,36.0,0.0,59.0,22.0,2.0,0.0,11.0,80.0,78.0,6.0,133828.0,1449.45,184080.0,0.0,86.0,3.0,122507.0,121377.0,335424.0,312390.0,15.0,13.0,9.0,290720.0,0.0,2137.0,0.0,3.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29402.64,110160.0,130802.89,12744.0,0.17,0.7000000000000001,0.0,7.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.0
6309,0013000000ZjlEV,"Kyazma, LLC**",Professional Services,11.0,3,$50K-100K,Basic,42.0,41.0,41.0,0.0,1.0,0.0,0.0,7.0,11.0,41.0,52.49,22.0,0.0,28.0,15.0,0.0,39.0,10.0,2.0,1.0,8.0,0.0,10.0,1.0,2398.0,160.34,6574.0,79.0,30.0,8.0,2324.0,5307.0,39117.0,57547.0,7.0,7.0,1.0,12241.0,0.0,998.0,0.0,0.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39193.8,0.0,45193.8,6000.0,2.38,0.87,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0,0.0
3870,0013000001JcqeU,"The Goldman Sachs Group, Inc.",Financial Services,32400.0,2,$1M-5M,Premier,1821.0,1694.0,1464.0,0.0,0.86,0.0,202.0,2.0,321.0,1166.0,1.96,16.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1235.0,1125.0,0.0,40406.0,0.0,2.0,0.0,19.0,2.0,1573633.0,1298866.0,9204383.0,14837627.0,0.0,0.0,0.0,0.0,0.0,22879.0,0.0,0.0,0.0,10.0,5.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,652444.49,88000.0,391391.68,0.0,1.09,1.0,0.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0
11013,00100000001SAH2,"Financial Engines, Inc.",Financial Services,303.0,3,$100K-200K,Premier,82.0,65.0,51.0,0.0,0.78,0.0,0.0,0.0,26.0,16.0,43.63,28.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.42,27.0,0.0,33.0,3.0,10.0,5795734.0,129026.0,6297.0,0.0,0.0,0.0,0.0,0.0,1195.0,0.0,7.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207287.61000000002,107880.0,114651.6,0.0,2.27,1.0,0.33,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0
5481,00130000000lJ55,HTH Worldwide,Healthcare & Life Sciences,262.0,4,$200K-600K,Premier,262.0,257.0,209.0,0.0,0.81,0.0,0.0,7.0,121.0,164.0,13.34,40.0,53.0,72.0,0.0,0.0,139.0,50.0,3.0,0.0,0.0,0.0,68.0,1.0,17367.0,249.44,64105.0,17.0,222.0,7.0,806568.0,841249.0,862636.0,2897452.0,23.0,19.0,26.0,681815.0,66.0,3249.0,2.0,0.0,7.0,2.0,0.0,32.0,0.0,0.0,2.0,2.0,0.0,0.0,2.63,235198.38,103749.28,211498.56,24000.0,0.77,0.91,0.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.0
7710,0013000000roQFb,Outreach.io,Other,10.0,2,$10K-50K,Basic,23.0,21.0,20.0,0.0,0.9500000000000001,0.0,1.0,0.0,11.0,10.0,20.19,6.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2088.0,794.8100000000001,16691.0,1.0,33.0,13.0,10576.0,17616.0,140698.0,38877.0,0.0,0.0,0.0,0.0,0.0,703.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32774.22,0.0,37574.22,4800.0,12.14,0.87,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0
